City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,yambio,4.5721,28.3955,20.28,43,100,1.67,SS,1741667233
223,anadyr,64.75,177.4833,-13.72,78,40,1.0,RU,1741667234
224,utrik,11.2278,169.8474,27.02,77,96,8.51,MH,1741667235
225,kayangel,8.0823,134.7173,27.67,80,100,7.52,PW,1741667236
226,devoto,-31.4043,-62.3063,18.1,53,0,1.83,AR,1741667237
227,nadi,-17.8,177.4167,30.0,58,40,4.63,FJ,1741667238
228,canutama,-6.5339,-64.3831,21.74,99,100,0.94,BR,1741667240
229,mangrol,21.1167,70.1167,30.34,36,0,2.67,IN,1741667241
230,st. john's,47.5649,-52.7093,-2.9,69,75,6.17,CA,1741667212
231,vila velha,-20.3297,-40.2925,25.97,78,40,2.57,BR,1741667146
232,balqash,46.8481,74.995,-9.67,92,26,4.0,KZ,1741667244
233,cooper's town,26.8667,-77.5167,21.39,76,53,13.14,BS,1741667245
234,rio grande,-32.035,-52.0986,20.53,70,8,3.67,BR,1741667246
235,el calafate,-50.3408,-72.2768,5.65,68,48,4.4,AR,1741667176
236,roma,43.2128,-75.4557,3.08,68,0,2.57,US,1741667249
237,hotan,37.0997,79.9269,12.83,20,100,1.42,CN,1741667250
238,spirovo,57.419,34.9766,2.36,93,100,3.65,RU,1741667251
239,teknaf,20.8624,92.3058,28.81,29,100,2.68,BD,1741667252
240,rajaori,33.3833,74.3,19.08,42,100,0.71,IN,1741667253
241,aral,40.5156,81.2636,8.59,25,61,3.66,CN,1741667255
242,grossenhain,51.2833,13.55,6.53,80,100,2.38,DE,1741667256
243,port elizabeth,-33.918,25.5701,17.95,81,0,2.57,ZA,1741667257
244,poteau,35.0537,-94.6236,11.88,58,0,2.06,US,1741667258
245,kiunga,-6.1219,141.2906,27.97,87,90,1.71,PG,1741667259
246,bulawayo,-20.15,28.5833,16.88,88,52,5.46,ZW,1741667261
247,qarqaraly,49.4058,75.4742,-8.24,93,92,5.09,KZ,1741667262
248,prineville,44.2999,-120.8345,7.39,66,75,0.0,US,1741667263
249,salamanca,40.8333,-6.0,6.46,93,100,4.24,ES,1741667264
250,kapuskasing,49.4169,-82.4331,-0.95,93,100,4.12,CA,1741667265
251,salinopolis,-0.6136,-47.3561,23.14,91,100,4.07,BR,1741667266
252,kavaratti,10.5669,72.642,28.5,72,89,2.43,IN,1741667267
253,banjar,-8.19,114.9675,31.37,65,96,2.29,ID,1741667269
254,blenheim,-41.516,173.9528,25.28,38,78,1.69,NZ,1741667270
255,saint-louis,16.3333,-15.0,20.16,53,5,4.53,SN,1741667271
256,new norfolk,-42.7826,147.0587,19.4,35,3,3.04,AU,1741667272
257,calliope,-24.0,151.2,27.05,74,75,2.57,AU,1741667273
258,altamira,-3.2033,-52.2064,20.91,99,98,1.26,BR,1741667274
259,zonguldak,41.25,31.8333,8.43,69,41,2.12,TR,1741667276
260,sukumo,32.9333,132.7333,13.87,79,92,0.66,JP,1741667277
261,arkhangel'sk,64.5401,40.5433,-6.94,93,75,4.0,RU,1741667278
262,holdrege,40.4403,-99.3698,13.95,19,0,3.6,US,1741667279
263,sao joao da barra,-21.6403,-41.0511,24.59,91,43,0.95,BR,1741667280
264,iskateley,67.6803,53.1512,-8.34,95,100,4.29,RU,1741667281
265,side,36.7667,31.3885,13.6,75,0,1.23,TR,1741667282
266,tughyl,47.7252,84.2063,-3.16,86,100,3.78,KZ,1741667283
267,akrehamn,59.2667,5.1833,4.14,87,75,4.12,NO,1741667285
268,wanning,18.8003,110.3967,23.36,89,100,2.55,CN,1741667286
269,mendi,-6.1761,143.6513,17.58,93,81,1.72,PG,1741667287
270,kolokani,13.5728,-8.0339,27.57,27,25,2.77,ML,1741667288
271,holualoa,19.6228,-155.9522,21.97,86,75,2.57,US,1741667289
272,lakhnadon,22.6,79.6,28.43,16,0,1.37,IN,1741667290
273,howard springs,-12.497,131.047,32.95,71,99,3.12,AU,1741667292
274,antsiranana,-12.2787,49.2917,25.42,83,40,5.14,MG,1741667293
275,kutum,14.2,24.6667,15.38,26,47,3.47,SD,1741667294
276,as sulayyil,20.4607,45.5779,20.64,43,34,3.32,SA,1741667295
277,hammerfest,70.6634,23.6821,-1.75,93,100,8.23,NO,1741667296
278,khetia,21.6667,74.5833,31.78,20,1,2.48,IN,1741667297
279,egilsstadir,65.2653,-14.3948,0.95,86,75,2.06,IS,1741667299
280,rongelap,11.1635,166.8941,27.18,75,16,7.26,MH,1741667300
281,bamboo flat,11.7,92.7167,30.05,79,40,4.12,IN,1741667301
282,golyshmanovo,56.3979,68.3728,-15.84,100,100,2.35,RU,1741667302
283,mansa,29.9833,75.3833,27.4,17,86,1.86,IN,1741667303
284,shchuchyn,53.6014,24.7465,7.64,86,100,3.15,BY,1741667304
285,sahagun,8.9462,-75.4427,25.79,82,25,4.31,CO,1741667306
286,vilyuchinsk,52.9306,158.4028,-5.85,46,0,3.59,RU,1741667063
287,puerto baquerizo moreno,-0.9,-89.6,26.73,76,97,2.32,EC,1741667308
288,wuxue,29.8506,115.5525,16.24,78,100,2.29,CN,1741667309
289,nadym,65.5333,72.5167,-23.18,92,45,3.49,RU,1741667310
290,la mira,18.035,-102.3266,22.97,84,4,1.37,MX,1741667311
291,cannonvale,-20.2833,148.7,28.66,72,22,4.5,AU,1741667313
292,robertson,36.5167,-86.8667,9.25,43,40,0.0,US,1741667314
293,murghob,38.1702,73.9667,-12.29,84,34,2.54,TJ,1741667315
294,manturovo,58.3353,44.7619,-1.4,85,100,4.2,RU,1741667316
295,kenai,60.5544,-151.2583,1.19,66,0,2.57,US,1741667317
296,baikonur,45.6167,63.3167,1.81,70,2,1.7,KZ,1741667318
297,freetown,8.484,-13.2299,23.01,83,97,2.46,SL,1741667320
298,valparaiso,-33.0393,-71.6273,19.15,69,0,2.06,CL,1741667151
299,markovo,57.3206,107.0881,-5.12,85,100,2.73,RU,1741667322
300,kathu,7.9178,98.3332,31.9,68,36,5.89,TH,1741667323
301,sao miguel do araguaia,-13.275,-50.1628,22.6,90,100,1.58,BR,1741667324
302,chu,43.5983,73.7614,6.4,67,3,1.6,KZ,1741667325
303,westport,41.1415,-73.3579,7.96,72,2,1.94,US,1741667327
304,kununurra,-15.7667,128.7333,34.99,49,94,4.63,AU,1741667328
305,razole,16.4833,81.8333,31.0,41,79,2.55,IN,1741667329
306,huambo,-12.7761,15.7392,16.58,95,100,0.91,AO,1741667330
307,las khorey,11.1595,48.1967,25.56,79,5,2.49,SO,1741667331
308,athni,16.7333,75.0667,28.41,36,21,6.42,IN,1741667332
309,casino,-28.8667,153.05,24.07,83,100,1.65,AU,1741667333
310,durban,-29.8579,31.0292,22.51,79,100,3.62,ZA,1741667270
311,manismata,-2.4667,111.0333,31.58,55,100,1.61,ID,1741667336
312,izberbash,42.5696,47.8645,6.35,91,53,0.93,RU,1741667337
313,gumdag,39.2061,54.5906,10.14,53,16,8.14,TM,1741667338
314,moab,38.5733,-109.5498,10.27,22,2,3.29,US,1741667339
315,nouadhibou,20.931,-17.0347,16.99,88,0,6.69,MR,1741667340
316,coruripe,-10.1256,-36.1756,25.38,72,27,4.18,BR,1741667341
317,quixeramobim,-5.1992,-39.2928,22.92,96,100,0.74,BR,1741667343
318,biankouma,7.7391,-7.6138,21.5,94,100,0.5,CI,1741667344
319,gaigeturi,33.4644,126.3183,14.03,72,40,7.2,KR,1741667345
320,kailua-kona,19.6406,-155.9956,24.04,85,75,2.57,US,1741667346
321,urbana,40.1106,-88.2073,12.01,62,0,5.14,US,1741667089
322,diourbel,14.6628,-16.3925,18.99,82,0,4.12,SN,1741667348
323,chalinze,-6.6378,38.354,23.73,95,100,1.85,TZ,1741667349
324,awjilah,29.1081,21.2869,17.59,32,0,3.81,LY,1741667351
325,saldanha,-33.0117,17.9442,13.03,84,0,5.46,ZA,1741667352
326,kurchatov,51.6601,35.6521,2.96,90,100,3.72,RU,1741667353
327,tamanrasset,22.785,5.5228,19.95,40,40,3.09,DZ,1741667354
328,worthington,40.0931,-83.018,9.98,54,20,0.89,US,1741667355
329,hongwon,40.0253,127.9558,11.07,45,9,2.7,KP,1741667356
330,whakatane,-37.9585,176.9854,20.73,57,0,3.02,NZ,1741667358
331,katabu,-4.9333,122.5167,30.94,62,100,2.09,ID,1741667359
332,notodden,59.5594,9.2585,0.42,45,100,1.54,NO,1741667360
333,boyabat,41.4689,34.7667,8.5,76,4,1.25,TR,1741667361
334,saint-francois,46.4154,3.9054,3.69,93,0,1.03,FR,1741667213
335,gurupi,-11.7292,-49.0686,23.18,86,37,1.27,BR,1741667363
336,chaman,30.9236,66.4512,19.31,43,100,2.19,PK,1741667364
337,georgetown,5.4112,100.3354,31.96,70,40,2.68,MY,1741667365
338,varto,39.1732,41.4559,-3.28,78,32,2.33,TR,1741667367
339,antalaha,-14.9003,50.2788,24.21,89,100,1.95,MG,1741667368
340,roxas,11.5853,122.7511,28.28,75,21,5.45,PH,1741667369
341,koryazhma,61.3143,47.1691,-7.94,91,100,3.71,RU,1741667370
